gene	TGFb_t24_FDR	TGFb_t24_logFC	TGFb_t48_FDR	TGFb_t48_logFC	TGFb_t72_FDR	TGFb_t72_logFC	Thrombin_t24_FDR	Thrombin_t24_logFC	Thrombin_t48_FDR	Thrombin_t48_logFC	Thrombin_t72_FDR	Thrombin_t72_logFC
ENSG00000137804					 7.385e-32	-1.924e+00					 5.311e-36	-1.962e+00
ENSG00000174807					1.149e-201	-1.897e+00	 6.376e-69	-1.001e+00	1.903e-173	-1.092e+00	 0.000e+00	-3.245e+00
ENSG00000175287	 1.935e-26	-1.088e+00			 1.801e-57	-1.443e+00			 8.421e-52	-1.138e+00	 3.404e-97	-2.245e+00
ENSG00000175274			2.429e-158	-1.109e+00	5.124e-286	-2.800e+00					1.895e-219	-2.496e+00
ENSG00000116096					 6.222e-62	-1.377e+00					 5.173e-67	-1.358e+00
ENSG00000155304					 0.000e+00	 1.775e+00			5.523e-215	 1.197e+00	 0.000e+00	 2.109e+00
ENSG00000145349			1.542e-100	-1.049e+00					5.642e-298	-1.338e+00		
ENSG00000137573			6.571e-105	 1.094e+00	3.267e-102	 1.496e+00			4.232e-299	 1.554e+00	 1.957e-47	 1.059e+00
ENSG00000185567	1.477e-135	-1.091e+00			1.974e-141	-1.562e+00	4.842e-203	-1.414e+00			 1.331e-86	-1.200e+00
ENSG00000251136					 2.167e-34	 1.074e+00					 3.410e-61	 1.263e+00
ENSG00000233369					 5.546e-38	-1.270e+00			 1.905e-70	-1.336e+00	 1.495e-52	-1.475e+00
ENSG00000116171					1.334e-109	-1.053e+00					 1.360e-93	-1.057e+00
ENSG00000230082					 3.587e-06	-1.019e+00					 6.176e-11	-1.349e+00
ENSG00000166250					5.858e-124	-1.119e+00					1.262e-238	-1.750e+00
ENSG00000141295					 3.278e-34	-1.012e+00					 1.955e-70	-1.355e+00
ENSG00000175197			4.252e-213	 1.769e+00	1.202e-209	 1.476e+00			1.012e-296	 2.185e+00	1.356e-265	 1.669e+00
ENSG00000116852									 2.606e-69	 1.608e+00		
ENSG00000151532											 4.472e-87	 1.008e+00
ENSG00000106853					2.669e-104	-1.218e+00						
ENSG00000116285									7.134e-136	 1.064e+00		
ENSG00000154856							 9.849e-08	-1.126e+00	 0.000e+00	-2.687e+00	 1.938e-75	-1.832e+00
ENSG00000177599					 2.250e-06	-1.052e+00			 3.176e-19	-1.250e+00	 1.103e-07	-1.164e+00
ENSG00000106688					 1.142e-49	-2.713e+00					 4.384e-47	-2.498e+00
ENSG00000188766			 1.817e-36	 1.328e+00					 7.559e-68	 1.412e+00		
ENSG00000269293									 4.489e-20	-1.006e+00	 1.957e-08	-1.063e+00
ENSG00000093009									 6.187e-38	 1.478e+00		
ENSG00000178149											 3.946e-48	-1.017e+00
ENSG00000141279									6.349e-173	-1.028e+00		
ENSG00000136205					 2.096e-80	-1.129e+00					6.288e-171	-1.461e+00
ENSG00000196081					 3.169e-05	-2.016e+00						
ENSG00000145604											 5.386e-62	-1.247e+00
ENSG00000167081									4.792e-114	-1.345e+00	3.811e-112	-1.613e+00
ENSG00000213983					 9.564e-49	-1.001e+00						
ENSG00000120658					 4.271e-30	-1.751e+00					 1.689e-42	-2.156e+00
ENSG00000183160					 8.263e-43	-1.120e+00					4.519e-165	-2.262e+00
ENSG00000172460					 3.338e-13	-1.208e+00			 1.960e-52	-1.308e+00	 1.061e-37	-2.421e+00
ENSG00000136052											 5.484e-20	 1.006e+00
ENSG00000160211					 8.591e-83	-1.145e+00						
ENSG00000120833					 5.058e-52	-1.178e+00					 4.553e-67	-1.327e+00
ENSG00000144583					 6.487e-32	 1.333e+00			 1.443e-67	 1.576e+00	 1.921e-89	 1.983e+00
ENSG00000158402									 2.640e-09	 1.078e+00	 1.399e-05	-2.030e+00
ENSG00000154127	4.510e-154	 1.141e+00	2.819e-220	 1.896e+00			 7.150e-70	 1.008e+00	3.720e-210	 1.731e+00		
ENSG00000155906											 1.419e-65	 1.075e+00
ENSG00000249115											 7.834e-39	-1.175e+00
ENSG00000169710					6.955e-122	-1.510e+00					 3.146e-94	-1.621e+00
ENSG00000273796					 3.540e-05	-1.526e+00					 7.595e-05	-1.448e+00
ENSG00000261101											 3.661e-08	 1.074e+00
ENSG00000273226									 1.018e-05	-1.383e+00		
ENSG00000164761					 3.368e-33	-2.184e+00	 4.280e-74	 1.881e+00	 0.000e+00	 3.727e+00		
ENSG00000146122	 1.192e-39	-1.280e+00	 2.963e-93	-1.536e+00	 0.000e+00	-3.004e+00					 0.000e+00	-3.178e+00
ENSG00000108405			 6.739e-57	 2.952e+00	 5.129e-18	 1.735e+00	 9.344e-16	 1.872e+00	2.868e-157	 3.798e+00	 7.276e-57	 2.645e+00
ENSG00000205710											 1.993e-13	-1.084e+00
ENSG00000232442											 4.362e-19	-1.180e+00
ENSG00000244486									1.313e-107	 1.023e+00		
ENSG00000203760					 3.644e-19	-1.330e+00					 5.886e-45	-2.359e+00
ENSG00000186480					1.981e-128	-1.746e+00					 7.773e-70	-1.526e+00
