gene	TGFb_t24_FDR	TGFb_t24_logFC	TGFb_t48_FDR	TGFb_t48_logFC	TGFb_t72_FDR	TGFb_t72_logFC	Thrombin_t24_FDR	Thrombin_t24_logFC	Thrombin_t48_FDR	Thrombin_t48_logFC	Thrombin_t72_FDR	Thrombin_t72_logFC
ENSG00000128272			1.923e-218	 1.326e+00					 0.000e+00	 1.594e+00		
ENSG00000187955	 1.725e-53	-1.460e+00	2.387e-272	-2.002e+00	 0.000e+00	-2.115e+00	 8.117e-32	-1.218e+00	 0.000e+00	-3.669e+00	 0.000e+00	-3.620e+00
ENSG00000230479	 6.940e-43	 2.702e+00	 2.599e-40	 4.071e+00	 7.834e-10	 1.932e+00	 1.303e-11	 1.673e+00	 4.659e-39	 3.701e+00	 2.174e-13	 2.179e+00
ENSG00000225138	 4.560e-22	-1.234e+00							 3.162e-76	-1.351e+00	 1.847e-16	-1.126e+00
ENSG00000141574	 4.439e-40	-1.261e+00	 3.271e-48	-1.190e+00	2.369e-115	-2.228e+00			 9.888e-19	-1.065e+00	7.910e-158	-2.582e+00
ENSG00000240771					 1.550e-72	-1.162e+00					 2.004e-80	-1.432e+00
ENSG00000049192			 6.358e-77	 1.128e+00	 6.475e-40	 1.103e+00			4.157e-125	 1.265e+00	1.073e-101	 1.394e+00
ENSG00000214114											 3.015e-09	-1.081e+00
ENSG00000134824					7.510e-262	-2.028e+00					2.350e-112	-1.705e+00
ENSG00000170624			 8.360e-37	 1.090e+00			 2.430e-11	-1.233e+00	 9.986e-30	-1.169e+00		
ENSG00000160781	 4.360e-09	-1.036e+00										
ENSG00000114166											 3.656e-37	-1.131e+00
ENSG00000105649					 5.471e-12	-1.496e+00					 1.505e-15	-1.713e+00
ENSG00000139597	 1.388e-09	-1.479e+00	 2.308e-19	-1.528e+00					 1.365e-42	-1.937e+00	 2.863e-24	-1.152e+00
ENSG00000064763					 1.329e-42	 1.077e+00					 4.135e-87	 1.392e+00
ENSG00000138080											8.930e-169	-1.639e+00
ENSG00000106333											1.056e-141	-1.305e+00
ENSG00000063046											 3.557e-75	-1.013e+00
ENSG00000106003					 7.432e-08	-1.170e+00					 3.359e-17	-1.900e+00
ENSG00000126822			 1.119e-54	-1.239e+00	2.830e-257	-2.681e+00					 0.000e+00	-3.155e+00
ENSG00000270061	 4.703e-07	-1.218e+00							 2.342e-07	-1.577e+00		
ENSG00000175600					 4.394e-22	 1.087e+00						
ENSG00000139679											 5.929e-21	-1.275e+00
ENSG00000154553			9.338e-145	 1.396e+00	 5.956e-23	 1.252e+00			 0.000e+00	 2.854e+00	 9.015e-27	 1.359e+00
ENSG00000005249									 4.853e-32	-1.322e+00		
ENSG00000136492					 1.924e-27	-2.188e+00					 1.372e-20	-2.203e+00
ENSG00000069702	 2.037e-50	-1.153e+00	6.878e-229	-1.815e+00	 1.993e-59	-1.710e+00			 0.000e+00	-2.605e+00	 2.796e-67	-2.000e+00
ENSG00000226067					 1.288e-36	 2.180e+00					 8.715e-18	 1.725e+00
ENSG00000153094							 1.457e-26	-1.112e+00	3.798e-183	-2.427e+00		
ENSG00000106268					 1.079e-24	-1.164e+00					 1.753e-43	-1.556e+00
ENSG00000129757	 2.123e-27	-1.227e+00	1.292e-266	-1.657e+00	7.448e-178	-3.225e+00	 1.382e-24	-1.100e+00	 0.000e+00	-2.527e+00	3.515e-305	-3.897e+00
ENSG00000184702											 9.304e-58	-1.013e+00
ENSG00000245025					 6.962e-16	 1.411e+00					 3.504e-45	 2.147e+00
ENSG00000143867					6.774e-150	-2.089e+00			1.728e-314	-2.359e+00	 0.000e+00	-3.953e+00
ENSG00000178531					 7.272e-07	-1.109e+00					 3.301e-12	-1.551e+00
ENSG00000263874					 1.756e-25	-2.527e+00			 1.484e-10	-1.014e+00	 1.287e-23	-2.108e+00
ENSG00000139112											1.184e-147	 1.171e+00
ENSG00000177374											 2.850e-88	-1.088e+00
ENSG00000253163	 2.887e-05	-1.299e+00										
ENSG00000120696									 1.527e-35	-1.087e+00		
ENSG00000127920					5.813e-168	-1.341e+00					7.702e-103	-1.069e+00
ENSG00000170899											 6.117e-83	-1.433e+00
ENSG00000120549					 1.633e-81	-2.040e+00			2.105e-110	-1.752e+00	9.635e-147	-2.888e+00
ENSG00000103485					 0.000e+00	-2.587e+00			1.295e-142	-1.011e+00	 0.000e+00	-3.183e+00
ENSG00000121104					 2.604e-55	-1.851e+00					 2.818e-54	-1.683e+00
ENSG00000172939											 4.407e-87	 1.028e+00
ENSG00000198721					 4.424e-77	-1.090e+00					 2.945e-82	-1.136e+00
ENSG00000160345									 1.493e-12	-1.012e+00		
ENSG00000178031					 2.001e-53	-1.376e+00					 1.629e-41	-1.233e+00
ENSG00000176532					5.895e-138	-2.814e+00					8.506e-138	-2.414e+00
ENSG00000196584					 4.260e-14	-1.916e+00					 6.808e-08	-1.599e+00
ENSG00000163739	 1.775e-40	 1.045e+00	 2.445e-85	 2.023e+00	 1.465e-21	 1.287e+00			 1.396e-92	 2.006e+00	 1.137e-36	 1.589e+00
ENSG00000268858											 6.169e-16	-1.080e+00
ENSG00000133597											 5.032e-41	 1.053e+00
ENSG00000075702					 4.745e-14	-1.354e+00					 4.871e-10	-1.080e+00
ENSG00000103490					 2.609e-33	-1.046e+00					 8.280e-56	-1.382e+00
ENSG00000092969					4.710e-275	 1.971e+00			 6.831e-71	 1.367e+00	 0.000e+00	 2.827e+00
ENSG00000260916					2.745e-226	 1.551e+00					9.318e-163	 1.427e+00
ENSG00000224536			 9.374e-05	 1.792e+00					 3.208e-06	 1.846e+00		
ENSG00000171097											 1.269e-26	-1.185e+00
ENSG00000176678									 3.170e-37	 1.290e+00		
ENSG00000130176	3.009e-110	 2.605e+00	 1.367e-13	 1.518e+00	 6.452e-62	-2.413e+00	 1.393e-19	 1.378e+00	 1.613e-73	 2.562e+00	 7.537e-60	-2.296e+00
ENSG00000213694			2.799e-108	-1.109e+00	 0.000e+00	-2.658e+00					1.515e-243	-1.937e+00
ENSG00000185813					1.900e-106	-1.404e+00					7.798e-154	-1.621e+00
ENSG00000124496					9.638e-143	-2.181e+00					4.069e-251	-2.590e+00
ENSG00000256034					 2.693e-15	-1.376e+00					 1.675e-26	-2.005e+00
ENSG00000103260											 1.258e-57	-1.081e+00
ENSG00000170006			 6.154e-69	 1.086e+00					1.996e-146	 1.439e+00		
ENSG00000197020											 5.123e-14	-1.109e+00
ENSG00000138180					 1.614e-37	-3.136e+00			 1.614e-38	 1.039e+00	 7.286e-36	-2.769e+00
ENSG00000147130					1.023e-132	-1.515e+00					7.766e-149	-1.721e+00
ENSG00000136111			 2.336e-73	-1.006e+00	1.125e-136	-1.599e+00					3.111e-100	-1.364e+00
ENSG00000068885									 7.177e-89	-1.004e+00		
ENSG00000162746											 3.297e-08	-1.473e+00
ENSG00000137834					 1.425e-68	-2.397e+00			 2.302e-52	-1.349e+00	2.525e-114	-3.269e+00
ENSG00000164929	 9.991e-08	-1.480e+00	8.438e-251	-3.207e+00	6.731e-314	-4.603e+00	 5.264e-08	-1.642e+00	 0.000e+00	-5.687e+00	 0.000e+00	-7.699e+00
ENSG00000162576											6.549e-216	-1.543e+00
ENSG00000158882											 1.062e-26	-1.057e+00
ENSG00000179820									6.405e-277	 1.403e+00		
ENSG00000133106											 3.932e-54	 1.434e+00
ENSG00000158966											 1.758e-31	-1.285e+00
ENSG00000139734					 7.732e-21	-1.180e+00						
ENSG00000171320					 5.565e-14	-2.441e+00					 9.458e-13	-2.260e+00
ENSG00000141480					 3.573e-13	-1.080e+00			 2.443e-31	-1.067e+00	 2.212e-24	-1.423e+00
ENSG00000080200									2.739e-150	-1.101e+00		
ENSG00000120659			 1.542e-07	 1.241e+00								
ENSG00000280187					 5.212e-10	-1.187e+00					 7.404e-13	-1.595e+00
ENSG00000272574											 2.281e-16	 1.601e+00
ENSG00000011198									2.446e-111	-1.046e+00		
ENSG00000260565											 2.196e-35	-1.088e+00
ENSG00000135914	 3.609e-11	-3.153e+00										
ENSG00000140157											 5.922e-90	 1.001e+00
ENSG00000135480			 2.080e-15	 1.646e+00			 7.432e-10	 1.058e+00	4.407e-143	 2.956e+00		
ENSG00000141458									1.701e-121	 1.007e+00	2.338e-185	 1.574e+00
ENSG00000154277					1.749e-208	 1.458e+00					 0.000e+00	 1.947e+00
ENSG00000085117					 4.033e-63	-1.201e+00						
ENSG00000116962											 9.383e-68	-1.175e+00
ENSG00000109511	 4.174e-49	-1.510e+00	 1.955e-11	-1.916e+00								
ENSG00000278000					 5.108e-14	 2.500e+00					 6.701e-23	 3.048e+00
ENSG00000233695							 7.425e-46	-1.169e+00	 6.010e-23	-1.042e+00	 2.223e-13	-1.829e+00
ENSG00000162595			 5.297e-91	-1.845e+00	 5.558e-39	-1.720e+00						
ENSG00000106105			2.232e-294	 1.730e+00					 0.000e+00	 2.065e+00		
ENSG00000235884									 1.416e-51	 1.210e+00		
ENSG00000110080											 8.024e-54	-1.077e+00
ENSG00000123395					 9.094e-80	 1.082e+00					5.973e-100	 1.234e+00
ENSG00000154930			8.732e-102	-1.246e+00	 2.846e-98	-1.324e+00					4.015e-104	-1.462e+00
ENSG00000206538							4.533e-135	 1.180e+00				
ENSG00000103888	 4.727e-87	-1.303e+00			 2.383e-77	-1.805e+00			4.283e-149	 2.355e+00	 2.886e-25	-1.017e+00
ENSG00000143554					 2.872e-73	-1.298e+00					6.755e-135	-1.534e+00
ENSG00000134222					 1.890e-33	-1.926e+00					 5.477e-63	-2.517e+00
ENSG00000163931					9.977e-202	-1.692e+00					 2.514e-68	-1.316e+00
ENSG00000143013									1.859e-140	 1.073e+00		
ENSG00000224080											 1.621e-06	 1.338e+00
ENSG00000196972					 2.541e-29	-1.899e+00					 3.130e-50	-2.683e+00
ENSG00000274265					 9.816e-27	 1.333e+00					 3.301e-14	 1.002e+00
ENSG00000198467					 2.822e-59	-1.121e+00					 2.759e-99	-1.410e+00
ENSG00000259343					 1.597e-15	-1.906e+00			 4.928e-14	-1.134e+00	 2.743e-24	-2.563e+00
ENSG00000187741					 2.635e-24	-1.827e+00					 7.097e-35	-2.183e+00
ENSG00000185187					 3.234e-49	-1.276e+00					 3.671e-35	-1.104e+00
ENSG00000114784											1.474e-111	 1.147e+00
ENSG00000127990					 5.836e-83	-1.009e+00						
ENSG00000176697							 2.122e-33	 1.313e+00	4.108e-161	 2.253e+00	 9.195e-73	 1.519e+00
ENSG00000144468					 7.975e-80	 1.027e+00			7.333e-119	 1.088e+00	 2.424e-85	 1.071e+00
ENSG00000172379					 7.725e-69	-2.335e+00	 4.750e-53	 1.629e+00	 5.046e-48	 1.263e+00	 3.441e-84	-2.666e+00
ENSG00000188070					 1.549e-68	-1.230e+00			2.368e-132	-1.321e+00	1.449e-119	-1.454e+00
ENSG00000182199			 0.000e+00	 1.732e+00					 0.000e+00	 1.929e+00	 9.999e-79	 1.211e+00
ENSG00000182973					1.865e-150	 1.423e+00					1.165e-182	 1.581e+00
ENSG00000214654					 8.280e-17	 1.188e+00					 9.350e-31	 1.374e+00
ENSG00000267263					 3.932e-12	-1.526e+00			 8.332e-07	-1.152e+00	 2.133e-15	-1.706e+00
ENSG00000154133					 1.115e-28	-1.837e+00			 3.259e-35	 1.553e+00		
ENSG00000156265							 4.302e-40	 1.355e+00	1.385e-100	 1.974e+00		
ENSG00000197780											 2.697e-84	 1.085e+00
ENSG00000137752					 8.607e-57	 1.053e+00					 5.583e-98	 1.288e+00
ENSG00000178752			 2.931e-11	 1.405e+00					 2.677e-45	 1.896e+00		
ENSG00000223749											 2.359e-76	-1.180e+00
ENSG00000176170	1.432e-126	 1.315e+00	3.841e-119	 1.671e+00	 1.024e-48	 1.381e+00	1.678e-135	 1.433e+00	1.021e-186	 2.248e+00		
ENSG00000108384					 1.150e-37	 1.029e+00					 7.204e-55	 1.240e+00
ENSG00000165244					 5.397e-07	-2.021e+00					 3.419e-09	-2.166e+00
ENSG00000148572					9.524e-205	 1.533e+00					1.236e-243	 1.774e+00
ENSG00000129474									1.886e-178	 1.595e+00		
ENSG00000138166									6.509e-178	 1.601e+00		
ENSG00000111252									5.806e-177	 1.039e+00		
ENSG00000185201					3.023e-140	-1.362e+00					3.492e-289	-1.688e+00
ENSG00000178971					 1.115e-40	-1.043e+00					 3.933e-40	-1.050e+00
ENSG00000261971											 5.932e-38	-1.354e+00
ENSG00000271380									 1.554e-07	-1.381e+00	 1.207e-07	-2.068e+00
ENSG00000104856									1.376e-103	 1.279e+00		
ENSG00000132535											 1.634e-69	-1.173e+00
ENSG00000071246					 2.707e-95	-1.296e+00			1.189e-176	-1.182e+00	2.997e-296	-2.315e+00
ENSG00000160932											4.992e-124	-1.175e+00
ENSG00000135486											 1.142e-77	-1.142e+00
ENSG00000120217	 5.714e-31	-1.102e+00			1.036e-113	 1.440e+00					 0.000e+00	 2.274e+00
ENSG00000163520											3.268e-137	-1.307e+00
ENSG00000101871					 3.116e-51	-1.504e+00					 3.257e-56	-1.507e+00
ENSG00000077684											1.848e-123	-1.090e+00
ENSG00000004961											 7.709e-79	 1.110e+00
ENSG00000235499					 6.621e-07	 1.158e+00					 3.081e-07	 1.107e+00
ENSG00000253250					7.085e-190	 2.212e+00					5.359e-291	 2.666e+00
ENSG00000255284					 5.285e-25	-1.234e+00					 2.549e-36	-1.454e+00
ENSG00000153904									6.772e-151	 1.146e+00		
ENSG00000251432											 1.726e-20	-1.367e+00
ENSG00000198826					 3.456e-36	-1.221e+00					 3.843e-46	-1.411e+00
ENSG00000186088					 1.783e-59	 1.303e+00			 4.782e-79	 1.557e+00	 4.017e-61	 1.397e+00
ENSG00000186174											 1.815e-88	-1.049e+00
ENSG00000204822											 2.056e-07	-1.118e+00
ENSG00000151640											 2.411e-30	 1.281e+00
ENSG00000243742			 8.020e-50	 2.955e+00	 0.000e+00	 4.558e+00	 2.799e-15	-1.521e+00	 1.563e-09	 1.117e+00	4.132e-225	 3.952e+00
ENSG00000269997									 1.506e-06	-1.166e+00		
ENSG00000248698	 2.290e-46	-2.585e+00	 1.642e-20	-3.445e+00	 1.616e-10	-5.268e+00			 1.767e-12	-1.503e+00	 6.532e-07	-2.756e+00
ENSG00000104812					1.726e-110	-1.618e+00						
ENSG00000170917											 7.777e-19	-1.264e+00
ENSG00000162493			3.433e-120	 1.622e+00					 1.727e-57	 1.218e+00	 5.532e-76	-1.268e+00
ENSG00000139899	 1.493e-17	-1.079e+00			 1.271e-28	-1.035e+00					 1.256e-46	-1.337e+00
ENSG00000138134					 8.468e-41	-1.092e+00					 8.900e-51	-1.175e+00
ENSG00000128408											 6.492e-07	-3.260e+00
ENSG00000171132											5.102e-112	 1.339e+00
ENSG00000133315					 1.496e-38	-1.458e+00					 2.349e-57	-1.488e+00
ENSG00000167107					 4.976e-51	-1.345e+00			2.972e-110	-1.484e+00	1.408e-125	-1.988e+00
ENSG00000116132	1.854e-139	 1.405e+00										
ENSG00000152256					 2.069e-54	-1.203e+00						
ENSG00000163376					 6.362e-22	 1.183e+00					 8.188e-24	 1.162e+00
ENSG00000231563					 9.824e-14	-2.042e+00					 5.420e-13	-1.876e+00
ENSG00000143416	 8.394e-56	-1.138e+00	 2.840e-72	-1.057e+00	1.368e-316	-2.766e+00	 2.934e-57	-1.081e+00	 0.000e+00	-2.125e+00	 0.000e+00	-3.924e+00
ENSG00000081041			 7.765e-33	 1.553e+00	 9.115e-37	 1.618e+00			 1.079e-25	 1.238e+00	 3.058e-57	 1.893e+00
ENSG00000197183					 3.240e-98	-1.515e+00					6.943e-107	-1.532e+00
ENSG00000173209									3.121e-157	-1.086e+00	 3.783e-98	-1.201e+00
ENSG00000173894					 2.104e-15	-1.089e+00					 1.414e-18	-1.230e+00
ENSG00000011465					 2.886e-73	-1.117e+00					2.343e-202	-1.846e+00
ENSG00000154640											 1.952e-66	 1.028e+00
ENSG00000278771					 2.769e-13	 1.127e+00					1.122e-205	 2.607e+00
ENSG00000117308									 8.173e-92	 1.152e+00	 5.699e-98	 1.579e+00
ENSG00000189320									 4.269e-53	-1.372e+00	 8.763e-66	-1.185e+00
ENSG00000148660											 2.889e-66	-1.143e+00
ENSG00000113721					 2.351e-70	-1.028e+00					3.054e-134	-1.422e+00
ENSG00000111348					1.851e-169	-2.276e+00					1.766e-261	-2.860e+00
ENSG00000163947											 4.555e-47	-1.258e+00
ENSG00000115884	 6.073e-66	 1.153e+00	 2.642e-13	 1.045e+00								
ENSG00000117643	 4.237e-16	-1.012e+00	6.404e-186	-1.819e+00	2.383e-127	-1.935e+00			 0.000e+00	-2.752e+00	 0.000e+00	-3.145e+00
ENSG00000201812					 5.662e-10	-4.224e+00					 1.943e-12	-5.231e+00
ENSG00000120708	1.518e-160	 1.189e+00	3.787e-137	 1.225e+00								
ENSG00000135637											 5.452e-40	-1.153e+00
ENSG00000163794	 2.698e-05	-1.316e+00									 7.236e-11	 1.008e+00
ENSG00000028277			 3.621e-24	 2.316e+00	2.381e-139	 3.294e+00			 3.060e-23	 1.883e+00	1.536e-186	 3.653e+00
ENSG00000139289					1.056e-126	 1.131e+00					5.183e-143	 1.328e+00
ENSG00000165495	 1.729e-21	 1.024e+00			 2.303e-23	-1.134e+00					 7.772e-47	-1.621e+00
ENSG00000184988					 7.142e-16	-1.310e+00					 8.766e-16	-1.378e+00
ENSG00000180884					 2.406e-09	-1.147e+00					 1.036e-15	-1.333e+00
ENSG00000099219					5.012e-160	-1.497e+00					5.279e-181	-1.521e+00
ENSG00000100234									1.022e-193	 1.415e+00		
ENSG00000165997					 2.543e-93	 1.211e+00					5.949e-113	 1.473e+00
ENSG00000167680			 2.290e-80	-1.125e+00	1.396e-150	-2.665e+00			2.656e-130	-1.313e+00	2.022e-239	-3.819e+00
ENSG00000072201					 3.524e-13	-1.143e+00					 2.038e-64	-2.824e+00
ENSG00000280721											 6.162e-30	-1.080e+00
ENSG00000140948									 9.872e-99	-1.130e+00		
ENSG00000178999					 4.071e-44	-3.683e+00					 1.952e-34	-2.921e+00
ENSG00000122121									 6.479e-09	-1.119e+00	 3.238e-16	-1.403e+00
ENSG00000183696					 8.195e-73	 1.250e+00			 3.705e-79	 1.208e+00	1.242e-231	 2.248e+00
ENSG00000169499					1.261e-271	-1.604e+00					3.925e-181	-1.373e+00
ENSG00000149499											3.477e-149	-1.366e+00
ENSG00000148344			 1.178e-20	-1.447e+00								
ENSG00000176912					 2.417e-05	 1.024e+00						
ENSG00000169432					 0.000e+00	 2.411e+00					 0.000e+00	 2.710e+00
ENSG00000028137	4.016e-196	-1.355e+00	2.778e-130	-1.167e+00	3.673e-168	-1.278e+00					 2.539e-77	-1.060e+00
ENSG00000229915					 1.142e-14	 1.815e+00			 3.774e-09	 1.997e+00	 3.430e-15	 1.857e+00
ENSG00000069020											 7.069e-38	-1.034e+00
ENSG00000196535					 2.465e-94	-1.073e+00					 1.707e-87	-1.047e+00
ENSG00000012171	 5.099e-11	-1.022e+00							 3.463e-43	-1.419e+00	 1.883e-29	-1.566e+00
ENSG00000137486					8.896e-129	-2.265e+00			 2.581e-78	-1.217e+00	1.099e-171	-2.696e+00
ENSG00000204556					 2.106e-06	-1.197e+00			 3.640e-06	-1.095e+00	 6.560e-11	-1.856e+00
ENSG00000167797											 1.327e-60	 1.047e+00
ENSG00000132846											 5.849e-40	 1.045e+00
ENSG00000126860	 1.897e-17	-1.395e+00			 1.522e-14	 1.021e+00					 1.978e-18	 1.061e+00
ENSG00000115604					 0.000e+00	 2.336e+00					9.545e-155	 1.797e+00
ENSG00000100350									 2.098e-60	-1.048e+00		
ENSG00000188613					 2.250e-24	-1.589e+00					 3.457e-25	-1.471e+00
ENSG00000183439					 6.162e-14	 1.274e+00					 1.902e-10	 1.128e+00
ENSG00000215861					 9.437e-19	 1.377e+00					 1.380e-39	 1.777e+00
ENSG00000102384					 1.886e-35	-2.697e+00					 4.247e-48	-3.190e+00
ENSG00000130513			2.283e-289	 2.396e+00	 0.000e+00	 3.861e+00			 0.000e+00	 2.854e+00	 0.000e+00	 4.485e+00
ENSG00000173531									8.204e-116	-1.309e+00		
ENSG00000179562											1.084e-119	 1.132e+00
ENSG00000269343					 6.798e-47	 1.173e+00					 4.353e-58	 1.124e+00
ENSG00000280527											 5.291e-17	 1.193e+00
ENSG00000127419											 7.475e-69	-1.331e+00
ENSG00000105011					 2.331e-28	-3.046e+00					 8.672e-43	-4.090e+00
ENSG00000017483	 1.005e-39	 1.139e+00	 8.455e-15	 1.516e+00	 7.802e-15	 1.236e+00			 6.952e-15	 1.213e+00	 1.562e-38	 1.679e+00
ENSG00000116584			4.566e-219	 1.375e+00					 0.000e+00	 1.663e+00		
ENSG00000198108											 3.036e-44	-1.746e+00
ENSG00000074181					9.601e-311	-2.504e+00					 0.000e+00	-2.614e+00
ENSG00000159388					6.076e-107	 1.238e+00					2.317e-184	 1.647e+00
ENSG00000106829									2.238e-145	-1.434e+00		
ENSG00000257732	 1.866e-05	-1.483e+00	 4.247e-08	-1.723e+00	 2.905e-31	-3.412e+00					 6.040e-11	-1.324e+00
ENSG00000279801					 7.355e-18	-1.269e+00					 6.059e-22	-1.300e+00
ENSG00000237807					 1.752e-32	-1.562e+00					 9.525e-54	-2.034e+00
ENSG00000187091											 2.052e-50	-1.066e+00
ENSG00000272711											 2.248e-12	-1.248e+00
ENSG00000183876					 9.618e-53	-2.618e+00					 3.906e-73	-2.586e+00
ENSG00000031698			2.035e-240	 1.418e+00					 0.000e+00	 1.725e+00		
ENSG00000258900					 3.815e-06	 1.144e+00					 1.247e-10	 1.433e+00
ENSG00000169679					 3.254e-42	-2.653e+00					 1.144e-43	-2.442e+00
ENSG00000186918					5.209e-114	-1.309e+00			2.564e-152	-1.213e+00		
ENSG00000068137											 1.255e-75	-1.047e+00
ENSG00000137033					6.082e-175	-2.045e+00					2.018e-235	-2.437e+00
ENSG00000275342					 1.954e-70	-1.103e+00						
ENSG00000160796					 1.471e-68	-1.492e+00					 2.870e-61	-1.732e+00
ENSG00000214944			 1.532e-29	-1.006e+00								
ENSG00000119681	9.943e-146	 1.224e+00	4.336e-122	 1.514e+00								
ENSG00000204381					 1.862e-86	-1.747e+00					 1.486e-48	-1.173e+00
ENSG00000171246							 1.046e-32	-1.130e+00	 6.102e-24	-1.975e+00	 2.072e-07	-2.564e+00
ENSG00000112742					 2.880e-22	-2.600e+00					 6.758e-19	-2.161e+00
ENSG00000125247					 1.201e-69	-1.363e+00					3.198e-126	-1.977e+00
ENSG00000196639											 6.807e-60	 1.087e+00
ENSG00000115255					 1.999e-17	-1.377e+00					 2.175e-38	-1.832e+00
ENSG00000198855					 3.912e-78	 1.692e+00					3.191e-137	 2.139e+00
ENSG00000074800									1.125e-117	 1.004e+00		
ENSG00000176428									 3.268e-13	-1.026e+00		
ENSG00000114023					 5.949e-47	-1.090e+00						
ENSG00000189410									 6.395e-42	 1.952e+00	 2.277e-48	 1.631e+00
ENSG00000041357					 6.149e-96	 1.006e+00					 8.908e-96	 1.107e+00
ENSG00000202566							 9.833e-05	-1.874e+00				
ENSG00000196247											 3.941e-17	-1.013e+00
ENSG00000244560											 3.488e-38	-1.050e+00
ENSG00000107796									2.089e-155	 2.019e+00	 2.233e-33	-1.260e+00
ENSG00000276012	 1.066e-05	 1.658e+00	 1.666e-13	 2.280e+00	 9.648e-07	 1.026e+00			 8.195e-22	 2.326e+00		
ENSG00000166979					 4.217e-35	-1.253e+00					 2.014e-27	-1.282e+00
ENSG00000196924									2.972e-110	 1.016e+00		
ENSG00000186104					 1.059e-75	 1.185e+00					5.083e-101	 1.378e+00
ENSG00000006638					 1.351e-46	-1.740e+00					 2.233e-49	-2.305e+00
ENSG00000175832			 6.461e-11	 1.344e+00					 3.041e-68	 2.247e+00		
ENSG00000166165			 1.405e-61	-1.573e+00	 9.627e-57	-1.590e+00			1.346e-129	-1.970e+00	 1.809e-71	-1.791e+00
ENSG00000138835									3.992e-163	 1.260e+00		
ENSG00000241404	 5.652e-09	-1.001e+00			 1.409e-12	-1.058e+00			 5.769e-21	-1.319e+00		
ENSG00000270195											 9.838e-05	-1.152e+00
ENSG00000158292									1.172e-108	-1.495e+00	1.807e-135	-1.456e+00
ENSG00000112559	 1.074e-22	 1.113e+00	 8.346e-88	 1.725e+00							 7.707e-63	-2.007e+00
ENSG00000235316									 5.276e-27	-1.129e+00		
ENSG00000226696											 1.564e-24	-1.246e+00
ENSG00000196233											 1.294e-66	 1.129e+00
ENSG00000229152									 1.915e-38	-1.016e+00		
ENSG00000136048					4.931e-157	 1.393e+00					3.660e-253	 1.644e+00
ENSG00000134690					 2.976e-19	-2.066e+00					 1.208e-24	-2.355e+00
ENSG00000167100											 2.179e-42	-1.408e+00
ENSG00000256262					 7.376e-09	 1.672e+00					 5.730e-08	 1.460e+00
ENSG00000263597											 1.004e-08	 2.089e+00
ENSG00000197063					3.859e-127	 1.143e+00					3.817e-116	 1.352e+00
ENSG00000118523	1.745e-292	 1.695e+00			4.180e-109	-2.026e+00	 0.000e+00	 2.778e+00	 0.000e+00	 2.234e+00	1.203e-233	-2.464e+00
ENSG00000230521											 1.425e-12	 1.371e+00
ENSG00000198146					1.597e-116	 1.095e+00					2.860e-154	 1.355e+00
ENSG00000139531											 1.595e-36	-1.083e+00
ENSG00000109805					 3.592e-49	-3.067e+00					 3.946e-37	-2.460e+00
ENSG00000114270	 2.122e-69	 1.293e+00	6.777e-248	 1.784e+00	2.813e-216	 2.055e+00					4.240e-158	 1.420e+00
ENSG00000114770											 2.912e-70	-1.007e+00
ENSG00000104321			 1.589e-23	 2.338e+00	 6.792e-06	 1.053e+00			 4.591e-95	 3.239e+00		
ENSG00000189136					 4.436e-24	-1.255e+00			 1.519e-37	-1.248e+00	 3.267e-47	-1.759e+00
ENSG00000120594			 4.638e-64	 1.096e+00	6.204e-247	 1.825e+00					 9.928e-69	 1.208e+00
ENSG00000196878	1.128e-127	-1.280e+00			 4.091e-46	-1.539e+00						
ENSG00000086062									1.094e-226	 1.182e+00		
ENSG00000257453					 2.628e-06	 1.687e+00					 1.474e-10	 2.005e+00
ENSG00000249087									 4.818e-36	-1.284e+00	 2.080e-34	-1.580e+00
ENSG00000185862	 1.985e-25	-1.182e+00			2.728e-121	 2.620e+00					1.643e-137	 2.799e+00
ENSG00000279312	 6.266e-15	-1.265e+00										
ENSG00000121152					 6.875e-27	-3.036e+00					 1.231e-21	-2.303e+00
ENSG00000235374					 8.229e-12	-1.300e+00					 2.164e-12	-1.364e+00
ENSG00000183935					 2.373e-25	-1.158e+00					 3.376e-36	-1.363e+00
ENSG00000186469											 8.083e-65	-1.174e+00
ENSG00000172346	 1.638e-05	-1.514e+00	 2.600e-33	-1.369e+00	5.625e-101	-2.926e+00			 1.604e-78	-1.727e+00	2.415e-175	-4.480e+00
ENSG00000139083									 4.105e-89	 1.074e+00		
ENSG00000121281					 1.519e-75	-1.053e+00						
ENSG00000006451					 3.628e-98	 1.030e+00					7.520e-150	 1.413e+00
ENSG00000104738					 7.536e-36	-1.110e+00					 4.363e-51	-1.256e+00
ENSG00000280351									 2.565e-09	-1.240e+00		
ENSG00000111328											 1.799e-63	-1.151e+00
ENSG00000267080											 1.590e-20	-1.098e+00
ENSG00000267213											 3.863e-05	-1.225e+00
ENSG00000152642											 1.704e-41	-1.192e+00
ENSG00000102901											 3.008e-92	-1.134e+00
ENSG00000148700											 4.963e-95	-1.076e+00
ENSG00000172197											 3.529e-38	 1.553e+00
ENSG00000170458	 7.028e-08	-1.126e+00			 2.306e-25	 1.968e+00			 1.943e-75	 2.496e+00	 1.241e-34	 2.372e+00
ENSG00000260350					 2.736e-08	 1.657e+00					 8.096e-14	 1.992e+00
